select;SELECT
while;WHILE
where;WHERE
from;FROM
order;ORDER
case;CASE
when;WHEN
if;IF
then;THEN
ACTION;ACTION
ADD;ADD
AES_DECRYPT;AES_DECRYPT
AES_ENCRYPT;AES_ENCRYPT
AFTER;AFTER
AGAINST;AGAINST
AGGREGATE;AGGREGATE
ALL;ALL
ALTER;ALTER
ANALYSE;ANALYSE
ANALYZE;ANALYZE
AND;AND
ARCHIVE;ARCHIVE
AS;AS
ASC;ASC
AT;AT
AUTHORS;AUTHORS
AUTOCOMMIT;AUTOCOMMIT
AUTOEXTEND_SIZE;AUTOEXTEND_SIZE
AVG_ROW_LENGTH;AVG_ROW_LENGTH
BACKUP;BACKUP
BEFORE;BEFORE
BEGIN;BEGIN
BETWEEN;BETWEEN
BIGINT;BIGINT
BINARY;BINARY
BINLOG;BINLOG
BOOL;BOOL
BOOLEAN;BOOLEAN
BOTH;BOTH
BTREE;BTREE
BY;BY
BYTE;BYTE
CACHE;CACHE
CALL;CALL
CASCADE;CASCADE
CASE;CASE
CEIL;CEIL
CEILING;CEILING
CHAIN;CHAIN
CHANGE;CHANGE
CHAR;CHAR
CHARACTER;CHARACTER
CHECK;CHECK
CHECKSUM;CHECKSUM
CIPHER;CIPHER
CLIENT;CLIENT
CLOSE;CLOSE
COALESCE;COALESCE
CODE;CODE
COLLATE;COLLATE
COLLATION;COLLATION
COLUMN;COLUMN
COLUMN_FORMAT;COLUMN_FORMAT
COLUMNS;COLUMNS
COMMENT;COMMENT
COMMIT;COMMIT
COMMITTED;COMMITTED
COMPACT;COMPACT
COMPLETION;COMPLETION
COMPRESSED;COMPRESSED
CONCURRENT;CONCURRENT
CONDITION;CONDITION
CONNECTION;CONNECTION
CONSISTENT;CONSISTENT
CONSTRAINT;CONSTRAINT
CONTINUE;CONTINUE
CONTRIBUTORS;CONTRIBUTORS
CONVERT;CONVERT
COUNT;COUNT
CREATE;CREATE
CROSS;CROSS
CSV;CSV
CURRENT_USER;CURRENT_USER
CURSOR;CURSOR
DATA;DATA
DATABASE;DATABASE
DATABASES;DATABASES
DATAFILE;DATAFILE
DATE;DATE
DATE_ADD;DATE_ADD
DATE_SUB;DATE_SUB
DATETIME;DATETIME
DAY;DAY
DAY_HOUR;DAY_HOUR
DAY_MINUTE;DAY_MINUTE
DAY_SECOND;DAY_SECOND
DEALLOCATE;DEALLOCATE
DEC;DEC
DECIMAL;DECIMAL
DECLARE;DECLARE
DEFAULT;DEFAULT
DEFINER;DEFINER
DELAY_KEY_WRITE;DELAY_KEY_WRITE
DELAYED;DELAYED
DELETE;DELETE
DES_KEY_FILE;DES_KEY_FILE
DESC;DESC
DESCRIBE;DESCRIBE
DIRECTORY;DIRECTORY
DISABLE;DISABLE
DISCARD;DISCARD
DISTINCT;DISTINCT
DISTINCTROW;DISTINCTROW
DO;DO
DROP;DROP
DUAL;DUAL
DUMPFILE;DUMPFILE
DUPLICATE;DUPLICATE
DYNAMIC;DYNAMIC
ELSE;ELSE
ELSEIF;ELSEIF
ENABLE;ENABLE
ENCLOSED;ENCLOSED
END;END
ENDS;ENDS
ENGINE;ENGINE
ENGINES;ENGINES
ERRORS;ERRORS
ESCAPE;ESCAPE
ESCAPED;ESCAPED
EVENT;EVENT
EVENTS;EVENTS
EVERY;EVERY
EXECUTE;EXECUTE
EXISTS;EXISTS
EXIT;EXIT
EXPANSION;EXPANSION
EXPLAIN;EXPLAIN
EXTENDED;EXTENDED
EXTENT_SIZE;EXTENT_SIZE
FALSE;FALSE
FAST;FAST
FEDERATED;FEDERATED
FETCH;FETCH
FIELDS;FIELDS
FILE;FILE
FIRST;FIRST
FIXED;FIXED
FLOAT4;FLOAT4
FLOAT8;FLOAT8
FLOOR;FLOOR
FLUSH;FLUSH
FOR;FOR
FORCE;FORCE
FOREIGN;FOREIGN
FROM;FROM
FULL;FULL
FULLTEXT;FULLTEXT
FUNCTION;FUNCTION
GEOMETRYCOLLECTIONFROMTEXT;GEOMETRYCOLLECTIONFROMTEXT
GEOMETRYCOLLECTIONFROMWKB;GEOMETRYCOLLECTIONFROMWKB
GEOMETRYFROMTEXT;GEOMETRYFROMTEXT
GEOMETRYFROMWKB;GEOMETRYFROMWKB
GLOBAL;GLOBAL
GRANT;GRANT
GRANTS;GRANTS
GROUP;GROUP
HANDLER;HANDLER
HAVING;HAVING
HEAP;HEAP
HELP;HELP
HIGH_PRIORITY;HIGH_PRIORITY
