!;Syntax:  NOT, \style{+B}!\style{-B}Logical NOT.;
!=;Syntax:  <>, \style{+B}!=\style{-B}Not equal:URL: http://dev.;
%;Syntax:  N \style{+B}%\style{-B} MModulo operation.;
&;Syntax:  \style{+B}&\style{-B}Bitwise AND:URL: http://dev.;
&&;Syntax:  AND, \style{+B}&&\style{-B}Logical AND.;
*;Syntax:  \style{+B}*\style{-B}Multiplication:URL: http://dev.;
+;Syntax:  \style{+B}+\style{-B}Addition:URL: http://dev.;
- BINARY;Syntax:  -Subtraction:URL: http://dev.;
- UNARY;Syntax:  -Unary minus.;
/;Syntax:  \style{+B}/\style{-B}Division:URL: http:\style{+B}/\style{-B}\style{+B}/\style{-B}dev.;
<;Syntax:  \style{+B}<\style{-B}Less than:URL: http://dev.;
<<;Syntax:  \style{+B}<<\style{-B}Shifts a longlong (BIGINT) number to the left.;
<=;Syntax:  \style{+B}<=\style{-B}Less than or equal:URL: http://dev.;
<=>;Syntax:  \style{+B}<=>\style{-B}NULL-safe equal.;
=;\style{+B}=\style{-B}Equal:URL: http://dev.;
>;Syntax:  \style{+B}>\style{-B}Greater than:URL: http://dev.;
>=;Syntax:  \style{+B}>=\style{-B}Greater than or equal:URL: http://dev.;
>>;Syntax:  \style{+B}>>\style{-B}Shifts a longlong (BIGINT) number to the right.;
ABS;Syntax:  \style{+B}ABS\style{-B}(X)Returns the absolute value of X.;
ACOS;Syntax:  \style{+B}ACOS\style{-B}(X)Returns the arc cosine of X, that is, the value whose cosine is X.;
ADDDATE;Syntax:  \style{+B}ADDDATE\style{-B}(date,INTERVAL expr unit), \style{+B}ADDDATE\style{-B}(expr,days)When invoked with the INTERVAL form of the second argument, \style{+B}ADDDATE\style{-B}()is a synonym for DATE_ADD().;
ADDTIME;Syntax:  \style{+B}ADDTIME\style{-B}(expr1,expr2)\style{+B}ADDTIME\style{-B}() adds expr2 to expr1 and returns the result.;
AES_DECRYPT;Syntax:  \style{+B}AES_DECRYPT\style{-B}(crypt_str,key_str)This function allows decryption of data using the official AES(Advanced Encryption Standard) algorithm.;
AES_ENCRYPT;Syntax:  \style{+B}AES_ENCRYPT\style{-B}(str,key_str)\style{+B}AES_ENCRYPT\style{-B}() and AES_DECRYPT() allow encryption and decryption of datausing the official AES (Advanced Encryption Standard) algorithm,previously known as "Rijndael.;
ALTER DATABASE;Syntax:  ALTER {DATABASE | SCHEMA} [db_name]    alter_specification .;
ALTER EVENT;Syntax:  ALTER    [DEFINER = { user | CURRENT_USER }]    EVENT event_name    [ON SCHEDULE schedule]    [ON COMPLETION [NOT] PRESERVE]    [RENAME TO new_event_name]    [ENABLE | DISABLE | DISABLE ON SLAVE]    [COMMENT 'comment']    [DO sql_statement]The \style{+B}ALTER EVENT\style{-B} statement is used to change one or more of thecharacteristics of an existing event without the need to drop andrecreate it.;
ALTER PROCEDURE;Syntax:  ALTER {PROCEDURE | FUNCTION} sp_name [characteristic .;
ALTER SERVER;Syntax:  \style{+B}ALTER SERVER\style{-B}  server_name    OPTIONS (option [, option] .;
ALTER TABLE;Syntax:  ALTER [ONLINE | OFFLINE] [IGNORE] TABLE tbl_name    alter_specification [, alter_specification] .;
ALTER TABLESPACE;Syntax:  \style{+B}ALTER TABLESPACE\style{-B} tablespace_name    {ADD|DROP} DATAFILE 'file_name'    [INITIAL_SIZE [=] size]    [WAIT]    ENGINE [=] engine_nameThis statement can be used either to add a new data file, or to drop adata file from a tablespace.;
ALTER VIEW;Syntax:  ALTER    [ALGORITHM = {UNDEFINED | MERGE | TEMPTABLE}]    [DEFINER = { user | CURRENT_USER }]    [SQL SECURITY { DEFINER | INVOKER }]    VIEW view_name [(column_list)]    AS select_statement    [WITH [CASCADED | LOCAL] CHECK OPTION]This statement changes the definition of a view, which must exist.;
